name,,,text,,,
bxchen,,,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,,,
seimatrun,,,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,,,
jamied7,,,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",,,
seimatrun,,,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,,,
mrmichaellay,,,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",,,
TaylorLumsden,,,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,,,
campusmoviefest,,,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",,,
TaylorLumsden,,,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,,,
meme_meng,,,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,,,
kyle_romanoff,,,@VirginAmerica what happened to Doom?!,,,
GunsNDip,,,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,,,
artisticwritr87,,,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,,,
arieldaie,,,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,,,
GunsNDip,,,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,,,
GunsNDip,,,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,,,
jsatk,,,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,,,
serenaklal,,,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,,,
openambit1,,,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,,,
cabowine,,,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,,,
MaryAnnTaylorT,,,@VirginAmerica Why is the site down?  When will it be back up?,,,
RamotControl,,,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",,,
losermelon,,,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",,,
AlisonK33774854,,,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,,,
GunsNDip,,,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",,,
yazdanagh,,,@VirginAmerica why is flight 345 redirected?,,,
MerchEngines,,,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",,,
ColorCartel,,,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,,,
MustBeSpoken,,,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,,,
mattbunk,,,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,,,
louisjenny,,,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,,,
STravelsW,,,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,,,
GunsNDip,,,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,,,
joeyrenagade,,,@VirginAmerica check out new music http://t.co/maRcnOCWzn,,,
mrmichaellay,,,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,,,
GunsNDip,,,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,,,
TheDuchessSF,,,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",,,
BeLeather,,,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,,,
BeLeather,,,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,,,
drcaseydrake,,,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,,,
flyfromWAS,,,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",,,
flyfromSEA,,,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",,,
flyfromNYC,,,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",,,
flyfromLAX,,,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",,,
Silvanabfer,,,@VirginAmerica Have a great week 🌞✈,,,
AdamJdubs,,,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,,,
nicholas_v,,,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",,,
tstashajones,,,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",,,
SkateMamas,,,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,,,
dngoo,,,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,,,
SamBrittenham,,,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",,,
usagibrian,,,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,,,
usagibrian,,,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",,,
KindofLuke,,,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,,,
ptbrodie,,,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,,,
cheryleng,,,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,,,
HishamSharaby,,,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",,,
ChrisFordisHere,,,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,,,
JKF1897,,,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,,,
F6x,,,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,,,
lawyang588,,,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,,,
melokudo,,,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,,,
ChrysiChrysic,,,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,,,
nikkisixxfan93,,,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,,,
ChrysiChrysic,,,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,,,
MOCBlogger,,,@VirginAmerica Another delayed flight? #likingyoulessandless,,,
tfaz,,,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,,,
lisaptv,,,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,,,
dropapp,,,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",,,
HollywoodHotMom,,,@VirginAmerica always!!! Xoxo,,,
GoShar2012,,,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,,,
MOCBlogger,,,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,,,
SkateMamas,,,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,,,
FiDiFamilies,,,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,,,
jarrydosborne,,,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,,,
HollywoodHotMom,,,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,,,
mlorenzen,,,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",,,
Tyler_Starrine,,,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,,,
jessicajaymes,,,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,,,
livingfitly,,,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,,,
khartline,,,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,,,
khartline,,,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,,,
MACRoxburgh,,,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,,,
paulnakada,,,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),,,
wildcatdad,,,@VirginAmerica is your website ever coming back online?,,,
RheaThurman1,,,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",,,
Osiris91780,,,@VirginAmerica Is flight 0769 out of LGA to DFW on time?,,,
HeatherWhoo,,,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,,,
paulnakada,,,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,,,
RampantSmashing,,,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,,,
intlwriter,,,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",,,
finslippy,,,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",,,
finslippy,,,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",,,
Gr8Fratsby,,,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,,,
sbaaronson,,,@VirginAmerica is the website down?,,,
jonesbasf,,,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,,,
Gr8Fratsby,,,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,,,
NewsSWA,,,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,,,
CSHangover,,,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,,,
girlphotophilly,,,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,,,
NewsSWA,,,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,,,
NewsSWA,,,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",,,
Graemelodge5545,,,@VirginAmerica Lister to my show my on Monday 1230 130,,,
NewsSWA,,,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,,,
Boards707,,,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",,,
MikeWiener,,,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,,,
khartline,,,@VirginAmerica I'd love to know what your policy is for damaged luggage.,,,
simpasmore,,,@VirginAmerica Thank you for the follow,,,
ChrysiChrysic,,,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,,,
ChrysiChrysic,,,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,,,
TTINAC11,,,@VirginAmerica @TTINAC11 I DM you,,,
elaurawrr,,,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,,,
joyabsalon,,,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,,,
meladorri,,,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,,,
miaerolinea,,,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,,,
archiegips,,,@VirginAmerica Only way to fly! #Elevate #Gold,,,
obiwantoby,,,@VirginAmerica If only you guys had flights from CMH.,,,
MarwaYousofzoy,,,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",,,
TTINAC11,,,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,,,
TheNotoriousLEX,,,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,,,
advertisingdiva,,,@VirginAmerica you will match my #AmericanAirlines status? Cool!,,,
Floxie10,,,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉,,,
alexrkonrad,,,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,,,
MarwaYousofzoy,,,@VirginAmerica you suck!,,,
lexiesalas,,,@VirginAmerica thanks!,,,
MaximWheatley,,,@VirginAmerica Just DM'd. Same issue persisting.,,,
FiDiFamilies,,,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,,,
lexiesalas,,,@VirginAmerica trying to book a flight &amp; your site is down 😁,,,
Artenis15,,,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,,,
NancyJFriedman,,,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,,,
JT_Magana,,,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue,,,
MaximWheatley,,,@VirginAmerica Your website is down and I'm trying to check in!,,,
carabubes,,,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",,,
carabubes,,,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,,,
wmrrock,,,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,,,
DailyBillboard,,,@VirginAmerica Keep up the great work :),,,
BigRichTexasPam,,,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,,,
rtw4,,,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,,,
casualdiego,,,@VirginAmerica can you please get me to the new york area before monday afternoon,,,
kyle_romanoff,,,"@VirginAmerica Thanks so much for the awesome support, you guys rock!",,,
wmrrock,,,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,,,
wmrrock,,,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,,,
BigRichTexasPam,,,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,,,
aaronkurlander,,,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,,,
MistakeCakeJake,,,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,,,
NoelArtiles,,,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.,,,
floatingatoll,,,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",,,
floatingatoll,,,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin",,,
aaronkurlander,,,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin,,,
aaronkurlander,,,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",,,
borknagar,,,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks,,,
propsonline,,,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh,,,
propsonline,,,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,,,
carlos89178,,,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,,,
carlos89178,,,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,,,
shounshounette,,,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,,,
alanzeino,,,"@VirginAmerica it’s just a bug report, guys",,,
DonnellyPatrick,,,@VirginAmerica hold times at call center are a bit much,,,
stefanpinto,,,@VirginAmerica Like http://t.co/VPqEm31XUQ,,,
josephschwegler,,,@VirginAmerica Site down? #help,,,
jennifer_caron,,,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,,,
miaerolinea,,,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",,,
ninjasistah,,,@VirginAmerica thanks so much!,,,
daniellewolff,,,"@VirginAmerica Trying to reset my password, email never arrives. Help?",,,
EleonoraKaras,,,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9",,,
carlosondrums,,,@VirginAmerica Very nicely done. 👏,,,
ninjasistah,,,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;),,,
stephenasilverm,,,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,,,
mrl6626,,,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",,,
SunRighteous,,,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,,,
readerriter,,,@VirginAmerica sounds like fun !,,,
jeredscott,,,@VirginAmerica any updates on flight 413 from Jfk &gt; Lax,,,
eric_t_lee,,,@virginamerica spruce moose!,,,
bluesmoon,,,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.",,,
RedSoxGirl1976,,,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?",,,
InuAtah,,,"@VirginAmerica classiq, luv Virgin America. Greetingz",,,
borknagar,,,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues",,,
Recessionista,,,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,,,
moosekazmi,,,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,,,
_LisaCap,,,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!,,,
eatgregeat,,,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews",,,
alanzeino,,,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ,,,
khartline,,,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.,,,
courtDMC,,,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free.",,,
woawABQ,,,"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh",,,
